+---------------------------------------------------------------------+
|  Log file: pa.characterize.log                                      |
|  Compiler version: 9.13.2                                           |
|  Created on: Wed Oct 23 15:06:53 2024                               |
|  Run ID: a3bd6f1aa3ef4038                                           |
+---------------------------------------------------------------------+

Program: flep_process.p4

--------------------------------------------------------------------------------------------------------------------------------------------------------
| Container |  Gress  |                          Name                          | Class |  | P | 0 | 1  | 2 | 3 | 4  | 5 | 6 | 7 | 8 | 9 | 10 | 11 | D |
|           |         |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv128  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |          ig_intr_md_for_tm.mcast_grp_a[15:0]           | imeta |  |   |   |    | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv129  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [9:0]  | ingress |                       $tmp2[9:0]                       |  meta |  |   |   |    |   |   |    |   |   |   |   |   |    |    | R |
|   phv130  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |        ig_intr_md_from_prsr.global_tstamp[15:0]        | imeta |  | W | ~ | R  |   |   |    |   |   |   |   |   |    |    |   |
|   phv131  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |             hdr.fleptopo.sendtstamp[15:0]              |  pkt  |  | W | W | W  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv132  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |              hdr.flep.routing_type[15:0]               |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | R | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv133  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |            hdr.ethernet.ethernetType[15:0]             |  pkt  |  | W | W | W  | ~ | ~ | ~  | W | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv134  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |                hdr.flabels.label[15:0]                 |  pkt  |  | W | ~ | ~  | ~ | ~ | R  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv135  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv136  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv137  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv138  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv139  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv140  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv141  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv142  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv143  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv144  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [8:0]  |  egress |              eg_intr_md.egress_port[8:0]               | imeta |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv145  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv146  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv147  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv148  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv149  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv150  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv151  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv152  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv153  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv154  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv155  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv156  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv157  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv158  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv159  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv160  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv161  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv162  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv163  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv164  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv165  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv166  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv167  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv168  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv169  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv170  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv171  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv172  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv173  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv174  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv175  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv176  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv177  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv178  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv179  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv180  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv181  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv182  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv183  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv184  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv185  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv186  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv187  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv188  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv189  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv190  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv191  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv192  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv193  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv194  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv195  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv196  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv197  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv198  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv199  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv200  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv201  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv202  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv203  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv204  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv205  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv206  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv207  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv208  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
